Program,threshold,accuracy,precision,recall,false_positives,false_negatives,true_positives,true_negatives,n_samples
ae,0.1,0.0,0.0,,6,0,0,0,6
ae,0.28,0.0,0.0,,6,0,0,0,6
ae,0.47,0.17,0.0,,5,0,0,1,6
ae,0.65,0.17,0.0,,5,0,0,1,6
ae,0.84,0.5,0.0,,3,0,0,3,6
ae,1.02,0.5,0.0,,3,0,0,3,6
ae,1.21,0.5,0.0,,3,0,0,3,6
ae,1.39,0.83,0.0,,1,0,0,5,6
ae,1.57,0.83,0.0,,1,0,0,5,6
ae,1.76,1.0,,,0,0,0,6,6
ae,1.94,1.0,,,0,0,0,6,6
ae,2.13,1.0,,,0,0,0,6,6
ae,2.31,1.0,,,0,0,0,6,6
ae,2.5,1.0,,,0,0,0,6,6
ae,2.68,1.0,,,0,0,0,6,6
ae,2.86,1.0,,,0,0,0,6,6
ae,3.05,1.0,,,0,0,0,6,6
ae,3.23,1.0,,,0,0,0,6,6
ae,3.42,1.0,,,0,0,0,6,6
ae,3.6,1.0,,,0,0,0,6,6
ae,3.79,1.0,,,0,0,0,6,6
ae,3.97,1.0,,,0,0,0,6,6
ae,4.15,1.0,,,0,0,0,6,6
ae,4.34,1.0,,,0,0,0,6,6
ae,4.52,1.0,,,0,0,0,6,6
ae,4.71,1.0,,,0,0,0,6,6
ae,4.89,1.0,,,0,0,0,6,6
ae,5.08,1.0,,,0,0,0,6,6
ae,5.26,1.0,,,0,0,0,6,6
ae,5.44,1.0,,,0,0,0,6,6
dj,0.1,0.0,0.0,,6,0,0,0,6
dj,0.28,0.0,0.0,,6,0,0,0,6
dj,0.47,0.17,0.0,,5,0,0,1,6
dj,0.65,0.17,0.0,,5,0,0,1,6
dj,0.84,0.17,0.0,,5,0,0,1,6
dj,1.02,0.17,0.0,,5,0,0,1,6
dj,1.21,0.33,0.0,,4,0,0,2,6
dj,1.39,0.33,0.0,,4,0,0,2,6
dj,1.57,0.5,0.0,,3,0,0,3,6
dj,1.76,0.5,0.0,,3,0,0,3,6
dj,1.94,0.5,0.0,,3,0,0,3,6
dj,2.13,0.67,0.0,,2,0,0,4,6
dj,2.31,0.67,0.0,,2,0,0,4,6
dj,2.5,0.67,0.0,,2,0,0,4,6
dj,2.68,1.0,,,0,0,0,6,6
dj,2.86,1.0,,,0,0,0,6,6
dj,3.05,1.0,,,0,0,0,6,6
dj,3.23,1.0,,,0,0,0,6,6
dj,3.42,1.0,,,0,0,0,6,6
dj,3.6,1.0,,,0,0,0,6,6
dj,3.79,1.0,,,0,0,0,6,6
dj,3.97,1.0,,,0,0,0,6,6
dj,4.15,1.0,,,0,0,0,6,6
dj,4.34,1.0,,,0,0,0,6,6
dj,4.52,1.0,,,0,0,0,6,6
dj,4.71,1.0,,,0,0,0,6,6
dj,4.89,1.0,,,0,0,0,6,6
dj,5.08,1.0,,,0,0,0,6,6
dj,5.26,1.0,,,0,0,0,6,6
dj,5.44,1.0,,,0,0,0,6,6
ghz,0.1,0.0,0.0,,6,0,0,0,6
ghz,0.28,0.0,0.0,,6,0,0,0,6
ghz,0.47,0.17,0.0,,5,0,0,1,6
ghz,0.65,0.17,0.0,,5,0,0,1,6
ghz,0.84,0.17,0.0,,5,0,0,1,6
ghz,1.02,0.5,0.0,,3,0,0,3,6
ghz,1.21,0.5,0.0,,3,0,0,3,6
ghz,1.39,0.5,0.0,,3,0,0,3,6
ghz,1.57,0.67,0.0,,2,0,0,4,6
ghz,1.76,0.83,0.0,,1,0,0,5,6
ghz,1.94,0.83,0.0,,1,0,0,5,6
ghz,2.13,0.83,0.0,,1,0,0,5,6
ghz,2.31,1.0,,,0,0,0,6,6
ghz,2.5,1.0,,,0,0,0,6,6
ghz,2.68,1.0,,,0,0,0,6,6
ghz,2.86,1.0,,,0,0,0,6,6
ghz,3.05,1.0,,,0,0,0,6,6
ghz,3.23,1.0,,,0,0,0,6,6
ghz,3.42,1.0,,,0,0,0,6,6
ghz,3.6,1.0,,,0,0,0,6,6
ghz,3.79,1.0,,,0,0,0,6,6
ghz,3.97,1.0,,,0,0,0,6,6
ghz,4.15,1.0,,,0,0,0,6,6
ghz,4.34,1.0,,,0,0,0,6,6
ghz,4.52,1.0,,,0,0,0,6,6
ghz,4.71,1.0,,,0,0,0,6,6
ghz,4.89,1.0,,,0,0,0,6,6
ghz,5.08,1.0,,,0,0,0,6,6
ghz,5.26,1.0,,,0,0,0,6,6
ghz,5.44,1.0,,,0,0,0,6,6
graphstate,0.1,0.0,0.0,,6,0,0,0,6
graphstate,0.28,0.17,0.0,,5,0,0,1,6
graphstate,0.47,0.83,0.0,,1,0,0,5,6
graphstate,0.65,1.0,,,0,0,0,6,6
graphstate,0.84,1.0,,,0,0,0,6,6
graphstate,1.02,1.0,,,0,0,0,6,6
graphstate,1.21,1.0,,,0,0,0,6,6
graphstate,1.39,1.0,,,0,0,0,6,6
graphstate,1.57,1.0,,,0,0,0,6,6
graphstate,1.76,1.0,,,0,0,0,6,6
graphstate,1.94,1.0,,,0,0,0,6,6
graphstate,2.13,1.0,,,0,0,0,6,6
graphstate,2.31,1.0,,,0,0,0,6,6
graphstate,2.5,1.0,,,0,0,0,6,6
graphstate,2.68,1.0,,,0,0,0,6,6
graphstate,2.86,1.0,,,0,0,0,6,6
graphstate,3.05,1.0,,,0,0,0,6,6
graphstate,3.23,1.0,,,0,0,0,6,6
graphstate,3.42,1.0,,,0,0,0,6,6
graphstate,3.6,1.0,,,0,0,0,6,6
graphstate,3.79,1.0,,,0,0,0,6,6
graphstate,3.97,1.0,,,0,0,0,6,6
graphstate,4.15,1.0,,,0,0,0,6,6
graphstate,4.34,1.0,,,0,0,0,6,6
graphstate,4.52,1.0,,,0,0,0,6,6
graphstate,4.71,1.0,,,0,0,0,6,6
graphstate,4.89,1.0,,,0,0,0,6,6
graphstate,5.08,1.0,,,0,0,0,6,6
graphstate,5.26,1.0,,,0,0,0,6,6
graphstate,5.44,1.0,,,0,0,0,6,6
qnn,0.1,0.0,0.0,,6,0,0,0,6
qnn,0.28,0.0,0.0,,6,0,0,0,6
qnn,0.47,0.17,0.0,,5,0,0,1,6
qnn,0.65,0.67,0.0,,2,0,0,4,6
qnn,0.84,0.83,0.0,,1,0,0,5,6
qnn,1.02,0.83,0.0,,1,0,0,5,6
qnn,1.21,1.0,,,0,0,0,6,6
qnn,1.39,1.0,,,0,0,0,6,6
qnn,1.57,1.0,,,0,0,0,6,6
qnn,1.76,1.0,,,0,0,0,6,6
qnn,1.94,1.0,,,0,0,0,6,6
qnn,2.13,1.0,,,0,0,0,6,6
qnn,2.31,1.0,,,0,0,0,6,6
qnn,2.5,1.0,,,0,0,0,6,6
qnn,2.68,1.0,,,0,0,0,6,6
qnn,2.86,1.0,,,0,0,0,6,6
qnn,3.05,1.0,,,0,0,0,6,6
qnn,3.23,1.0,,,0,0,0,6,6
qnn,3.42,1.0,,,0,0,0,6,6
qnn,3.6,1.0,,,0,0,0,6,6
qnn,3.79,1.0,,,0,0,0,6,6
qnn,3.97,1.0,,,0,0,0,6,6
qnn,4.15,1.0,,,0,0,0,6,6
qnn,4.34,1.0,,,0,0,0,6,6
qnn,4.52,1.0,,,0,0,0,6,6
qnn,4.71,1.0,,,0,0,0,6,6
qnn,4.89,1.0,,,0,0,0,6,6
qnn,5.08,1.0,,,0,0,0,6,6
qnn,5.26,1.0,,,0,0,0,6,6
qnn,5.44,1.0,,,0,0,0,6,6
random,0.1,0.0,0.0,,6,0,0,0,6
random,0.28,0.0,0.0,,6,0,0,0,6
random,0.47,0.33,0.0,,4,0,0,2,6
random,0.65,0.5,0.0,,3,0,0,3,6
random,0.84,0.5,0.0,,3,0,0,3,6
random,1.02,0.5,0.0,,3,0,0,3,6
random,1.21,0.5,0.0,,3,0,0,3,6
random,1.39,1.0,,,0,0,0,6,6
random,1.57,1.0,,,0,0,0,6,6
random,1.76,1.0,,,0,0,0,6,6
random,1.94,1.0,,,0,0,0,6,6
random,2.13,1.0,,,0,0,0,6,6
random,2.31,1.0,,,0,0,0,6,6
random,2.5,1.0,,,0,0,0,6,6
random,2.68,1.0,,,0,0,0,6,6
random,2.86,1.0,,,0,0,0,6,6
random,3.05,1.0,,,0,0,0,6,6
random,3.23,1.0,,,0,0,0,6,6
random,3.42,1.0,,,0,0,0,6,6
random,3.6,1.0,,,0,0,0,6,6
random,3.79,1.0,,,0,0,0,6,6
random,3.97,1.0,,,0,0,0,6,6
random,4.15,1.0,,,0,0,0,6,6
random,4.34,1.0,,,0,0,0,6,6
random,4.52,1.0,,,0,0,0,6,6
random,4.71,1.0,,,0,0,0,6,6
random,4.89,1.0,,,0,0,0,6,6
random,5.08,1.0,,,0,0,0,6,6
random,5.26,1.0,,,0,0,0,6,6
random,5.44,1.0,,,0,0,0,6,6
realamprandom,0.1,0.0,0.0,,6,0,0,0,6
realamprandom,0.28,0.0,0.0,,6,0,0,0,6
realamprandom,0.47,0.33,0.0,,4,0,0,2,6
realamprandom,0.65,0.67,0.0,,2,0,0,4,6
realamprandom,0.84,0.83,0.0,,1,0,0,5,6
realamprandom,1.02,1.0,,,0,0,0,6,6
realamprandom,1.21,1.0,,,0,0,0,6,6
realamprandom,1.39,1.0,,,0,0,0,6,6
realamprandom,1.57,1.0,,,0,0,0,6,6
realamprandom,1.76,1.0,,,0,0,0,6,6
realamprandom,1.94,1.0,,,0,0,0,6,6
realamprandom,2.13,1.0,,,0,0,0,6,6
realamprandom,2.31,1.0,,,0,0,0,6,6
realamprandom,2.5,1.0,,,0,0,0,6,6
realamprandom,2.68,1.0,,,0,0,0,6,6
realamprandom,2.86,1.0,,,0,0,0,6,6
realamprandom,3.05,1.0,,,0,0,0,6,6
realamprandom,3.23,1.0,,,0,0,0,6,6
realamprandom,3.42,1.0,,,0,0,0,6,6
realamprandom,3.6,1.0,,,0,0,0,6,6
realamprandom,3.79,1.0,,,0,0,0,6,6
realamprandom,3.97,1.0,,,0,0,0,6,6
realamprandom,4.15,1.0,,,0,0,0,6,6
realamprandom,4.34,1.0,,,0,0,0,6,6
realamprandom,4.52,1.0,,,0,0,0,6,6
realamprandom,4.71,1.0,,,0,0,0,6,6
realamprandom,4.89,1.0,,,0,0,0,6,6
realamprandom,5.08,1.0,,,0,0,0,6,6
realamprandom,5.26,1.0,,,0,0,0,6,6
realamprandom,5.44,1.0,,,0,0,0,6,6
su2random,0.1,0.0,0.0,,6,0,0,0,6
su2random,0.28,0.17,0.0,,5,0,0,1,6
su2random,0.47,0.33,0.0,,4,0,0,2,6
su2random,0.65,1.0,,,0,0,0,6,6
su2random,0.84,1.0,,,0,0,0,6,6
su2random,1.02,1.0,,,0,0,0,6,6
su2random,1.21,1.0,,,0,0,0,6,6
su2random,1.39,1.0,,,0,0,0,6,6
su2random,1.57,1.0,,,0,0,0,6,6
su2random,1.76,1.0,,,0,0,0,6,6
su2random,1.94,1.0,,,0,0,0,6,6
su2random,2.13,1.0,,,0,0,0,6,6
su2random,2.31,1.0,,,0,0,0,6,6
su2random,2.5,1.0,,,0,0,0,6,6
su2random,2.68,1.0,,,0,0,0,6,6
su2random,2.86,1.0,,,0,0,0,6,6
su2random,3.05,1.0,,,0,0,0,6,6
su2random,3.23,1.0,,,0,0,0,6,6
su2random,3.42,1.0,,,0,0,0,6,6
su2random,3.6,1.0,,,0,0,0,6,6
su2random,3.79,1.0,,,0,0,0,6,6
su2random,3.97,1.0,,,0,0,0,6,6
su2random,4.15,1.0,,,0,0,0,6,6
su2random,4.34,1.0,,,0,0,0,6,6
su2random,4.52,1.0,,,0,0,0,6,6
su2random,4.71,1.0,,,0,0,0,6,6
su2random,4.89,1.0,,,0,0,0,6,6
su2random,5.08,1.0,,,0,0,0,6,6
su2random,5.26,1.0,,,0,0,0,6,6
su2random,5.44,1.0,,,0,0,0,6,6
twolocalrandom,0.1,0.0,0.0,,5,0,0,0,5
twolocalrandom,0.28,0.0,0.0,,5,0,0,0,5
twolocalrandom,0.47,0.2,0.0,,4,0,0,1,5
twolocalrandom,0.65,0.4,0.0,,3,0,0,2,5
twolocalrandom,0.84,1.0,,,0,0,0,5,5
twolocalrandom,1.02,1.0,,,0,0,0,5,5
twolocalrandom,1.21,1.0,,,0,0,0,5,5
twolocalrandom,1.39,1.0,,,0,0,0,5,5
twolocalrandom,1.57,1.0,,,0,0,0,5,5
twolocalrandom,1.76,1.0,,,0,0,0,5,5
twolocalrandom,1.94,1.0,,,0,0,0,5,5
twolocalrandom,2.13,1.0,,,0,0,0,5,5
twolocalrandom,2.31,1.0,,,0,0,0,5,5
twolocalrandom,2.5,1.0,,,0,0,0,5,5
twolocalrandom,2.68,1.0,,,0,0,0,5,5
twolocalrandom,2.86,1.0,,,0,0,0,5,5
twolocalrandom,3.05,1.0,,,0,0,0,5,5
twolocalrandom,3.23,1.0,,,0,0,0,5,5
twolocalrandom,3.42,1.0,,,0,0,0,5,5
twolocalrandom,3.6,1.0,,,0,0,0,5,5
twolocalrandom,3.79,1.0,,,0,0,0,5,5
twolocalrandom,3.97,1.0,,,0,0,0,5,5
twolocalrandom,4.15,1.0,,,0,0,0,5,5
twolocalrandom,4.34,1.0,,,0,0,0,5,5
twolocalrandom,4.52,1.0,,,0,0,0,5,5
twolocalrandom,4.71,1.0,,,0,0,0,5,5
twolocalrandom,4.89,1.0,,,0,0,0,5,5
twolocalrandom,5.08,1.0,,,0,0,0,5,5
twolocalrandom,5.26,1.0,,,0,0,0,5,5
twolocalrandom,5.44,1.0,,,0,0,0,5,5
wstate,0.1,0.0,0.0,,5,0,0,0,5
wstate,0.28,0.2,0.0,,4,0,0,1,5
wstate,0.47,0.4,0.0,,3,0,0,2,5
wstate,0.65,0.8,0.0,,1,0,0,4,5
wstate,0.84,0.8,0.0,,1,0,0,4,5
wstate,1.02,0.8,0.0,,1,0,0,4,5
wstate,1.21,0.8,0.0,,1,0,0,4,5
wstate,1.39,1.0,,,0,0,0,5,5
wstate,1.57,1.0,,,0,0,0,5,5
wstate,1.76,1.0,,,0,0,0,5,5
wstate,1.94,1.0,,,0,0,0,5,5
wstate,2.13,1.0,,,0,0,0,5,5
wstate,2.31,1.0,,,0,0,0,5,5
wstate,2.5,1.0,,,0,0,0,5,5
wstate,2.68,1.0,,,0,0,0,5,5
wstate,2.86,1.0,,,0,0,0,5,5
wstate,3.05,1.0,,,0,0,0,5,5
wstate,3.23,1.0,,,0,0,0,5,5
wstate,3.42,1.0,,,0,0,0,5,5
wstate,3.6,1.0,,,0,0,0,5,5
wstate,3.79,1.0,,,0,0,0,5,5
wstate,3.97,1.0,,,0,0,0,5,5
wstate,4.15,1.0,,,0,0,0,5,5
wstate,4.34,1.0,,,0,0,0,5,5
wstate,4.52,1.0,,,0,0,0,5,5
wstate,4.71,1.0,,,0,0,0,5,5
wstate,4.89,1.0,,,0,0,0,5,5
wstate,5.08,1.0,,,0,0,0,5,5
wstate,5.26,1.0,,,0,0,0,5,5
wstate,5.44,1.0,,,0,0,0,5,5
